fullName,parkCode,states,latitude,longitude,description_length,num_activities
Fort Bowie National Historic Site,fobo,AZ,32.14925942,-109.451132,345,9
Fort Davis National Historic Site,foda,TX,30.59930381,-103.8961904,306,19
Fort Donelson National Battlefield,fodo,"KY,TN",36.49019078,-87.92445695,397,8
Fort Dupont Park,fodu,DC,38.87731289,-76.94955824,311,8
Fort Foote Park,fofo,MD,38.76901785,-77.02812387,234,1
Fort Frederica National Monument,fofr,GA,31.2214699,-81.39452014,356,7
Fort Laramie National Historic Site,fola,WY,42.20301694,-104.5459112,354,14
Fort Larned National Historic Site,fols,KS,38.18047491,-99.21836664,273,11
Fort Matanzas National Monument,foma,FL,29.7121489,-81.23567535,375,7
Fort McHenry National Monument and Historic Shrine,fomc,MD,39.26395314,-76.58044165,400,34
Fort Monroe National Monument,fomr,VA,37.01733343,-76.30103195,355,17
Fort Necessity National Battlefield,fone,PA,39.81306048,-79.59033344,282,18
Fort Point National Historic Site,fopo,CA,37.80837439,-122.473747,291,7
Fort Pulaski National Monument,fopu,GA,32.0308274,-80.93361681,393,19
Fort Raleigh National Historic Site,fora,NC,35.93278602,-75.71496865,400,7
Fort Scott National Historic Site,fosc,KS,37.84358849,-94.70429174,387,8
Fort Smith National Historic Site,fosm,"AR,OK",35.38834746,-94.43129079,388,7
Fort Stanwix National Monument,fost,NY,43.21053441,-75.45557626,399,25
Fort Sumter and Fort Moultrie National Historical Park,fosu,SC,32.75654469,-79.87068744,400,23
Fort Union National Monument,foun,NM,35.90700629,-105.0145185,328,7
Fort Union Trading Post National Historic Site,fous,"MT,ND",48.00075828,-104.0375238,392,14
Fort Vancouver National Historic Site,fova,"OR,WA",45.62234841,-122.6617043,393,15
Fort Washington Park,fowa,MD,38.7117,-77.0302,247,8
Fossil Butte National Monument,fobu,WY,41.85635223,-110.7624754,364,7
Frances Perkins National Monument,frpe,ME,44.0052,-69.5568,385,0
Franklin Delano Roosevelt Memorial,frde,DC,38.88341274,-77.04311542,213,8
Frederick Douglass National Historic Site,frdo,DC,38.86298458,-76.98508147,387,7
Frederick Law Olmsted National Historic Site,frla,MA,42.32424266,-71.13202567,400,6
Fredericksburg & Spotsylvania National Military Park,frsp,VA,38.29378,-77.46734,398,15
Freedom Riders National Monument,frri,AL,33.635269165,-85.9064331055,394,4
Friendship Hill National Historic Site,frhi,PA,39.77543423,-79.92504169,371,11
Gates Of The Arctic National Park & Preserve,gaar,AK,67.75961636,-153.2917758,369,16
Gateway Arch National Park,jeff,MO,38.6258069,-90.1892508,276,15
Gateway National Recreation Area,gate,"NY,NJ",40.56536246,-73.9171087,396,9
Gauley River National Recreation Area,gari,WV,38.20614947,-81.00420836,307,10
General Grant National Memorial,gegr,NY,40.81332817,-73.96331542,390,6
George Rogers Clark National Historical Park,gero,IN,38.67912659,-87.53545212,399,15
George Washington Birthplace National Monument,gewa,VA,38.19362603,-76.92079458,385,14
George Washington Carver National Monument,gwca,MO,36.9871322,-94.35522737,284,13
George Washington Memorial Parkway,gwmp,"DC,MD,VA",38.9628,-77.1495,313,8
Gettysburg National Military Park,gett,PA,39.81557366,-77.23246758,365,22
Gila Cliff Dwellings National Monument,gicl,NM,33.22715258,-108.2706711,391,21
Glacier Bay National Park & Preserve,glba,AK,58.80086718,-136.8407579,363,31
Glacier National Park,glac,MT,48.68414678,-113.8009306,305,45
Glen Canyon National Recreation Area,glca,"AZ,UT",36.9357464677,-111.485594268,352,28
Glen Echo Park,glec,MD,38.96912315,-77.14012206,397,6
Gloria Dei Church National Historic Site,glde,PA,39.93435005,-75.14398924,199,1
Golden Gate National Recreation Area,goga,CA,37.85982543,-122.6007386,399,26
Golden Spike National Historical Park,gosp,UT,41.61947508,-112.5242653,361,14
Governors Island National Monument,gois,NY,40.69164233,-74.01670765,370,10
Grand Canyon National Park,grca,AZ,36.0001165336,-112.121516363,387,32
Grand Canyon-Parashant National Monument,para,AZ,36.41535465,-113.6682797,400,10
Grand Portage National Monument,grpo,MN,47.99294217,-89.75573031,399,28
Grand Teton National Park,grte,WY,43.81853565,-110.7054666,344,54
Grant-Kohrs Ranch National Historic Site,grko,MT,46.41358923,-112.7467024,327,11
Great Basin National Park,grba,NV,38.94617378,-114.2579782,396,35
Great Egg Harbor River,greg,NJ,39.3042,-74.6497,400,24
Great Falls Park,grfa,VA,38.98776107,-77.25128326,373,5
Great Sand Dunes National Park & Preserve,grsa,CO,37.79256812,-105.5919572,329,56
Great Smoky Mountains National Park,grsm,"NC,TN",35.60116374,-83.50818326,363,36
Green Springs,grsp,VA,38.037099,-78.189823,394,3
Greenbelt Park,gree,MD,38.98328267,-76.89722133,102,9
Guadalupe Mountains National Park,gumo,TX,31.92304462,-104.885527,382,20
Guilford Courthouse National Military Park,guco,NC,36.13225478,-79.8424561,352,14
Gulf Islands National Seashore,guis,"FL,MS",30.3211,-87.2304,210,44
Hagerman Fossil Beds National Monument,hafo,ID,42.79074114,-114.9443074,366,14
Haleakalā National Park,hale,HI,20.70693015,-156.1591775,374,8
Hamilton Grange National Memorial,hagr,NY,40.81871605,-73.94878487,332,7
Hampton National Historic Site,hamp,MD,39.4175296,-76.58781182,363,20
Harmony Hall,haha,MD,38.74646351,-77.00377069,393,2
Harpers Ferry National Historical Park,hafe,"WV,VA,MD",39.31865949,-77.74088546,363,6
Harriet Tubman National Historical Park,hart,NY,42.9128920287,-76.5646715462,392,5
Harriet Tubman Underground Railroad National Historical Park,hatu,MD,38.4548643511,-76.1373451376,393,6
Harry S Truman National Historic Site,hstr,MO,38.92711967,-94.5162488,331,7
Hawaiʻi Volcanoes National Park,havo,HI,19.3355036,-155.4700257,364,17
Herbert Hoover National Historic Site,heho,IA,41.66793558,-91.35232139,393,13
Historic Jamestowne Part of Colonial National Historical Park,jame,VA,37.2065,-76.7538,391,5
Home Of Franklin D Roosevelt National Historic Site,hofr,NY,41.76639758,-73.92516857,389,6
Homestead National Historical Park,home,NE,40.28802381,-96.83387781,397,15
Honouliuli National Historic Site,hono,HI,21.38817536,-158.0574991,251,2
Hopewell Culture National Historical Park,hocu,OH,39.31594374,-83.08049456,390,11
Hopewell Furnace National Historic Site,hofu,PA,40.20610637,-75.76766355,352,30
Horseshoe Bend National Military Park,hobe,AL,32.97668879,-85.73413589,368,38
Hot Springs National Park,hosp,AR,34.52414366,-93.06332936,399,20
Hovenweep National Monument,hove,"CO,UT",37.39134092,-109.0047977,338,8
Hubbell Trading Post National Historic Site,hutr,AZ,35.70727324,-109.5599515,399,5
Ice Age Floods National Geologic Trail,iafl,"WA,OR,ID,MT",46.5669309008,-118.992564971,389,4
Ice Age National Scenic Trail,iatr,WI,43.9895697794,-89.5612021706,355,11
Independence National Historical Park,inde,PA,39.94746112,-75.14794157,316,8
Indiana Dunes National Park,indu,IN,41.63765525,-87.09647445,399,35
Isle Royale National Park,isro,MI,48.01145819,-88.82780657,384,35
Iñupiat Heritage Center,inup,AK,71.29832445,-156.7535863,395,2
James A Garfield National Historic Site,jaga,OH,41.66486549,-81.35086557,395,7
Jean Lafitte National Historical Park and Preserve,jela,LA,29.81739855,-90.1402241,397,24
Jewel Cave National Monument,jeca,SD,43.73102945,-103.829994,396,10
Jimmy Carter National Historical Park,jica,GA,32.03611,-84.3924,305,8
John Day Fossil Beds National Monument,joda,OR,44.62566508,-119.8811491,396,6
John Fitzgerald Kennedy National Historic Site,jofi,MA,42.34693694,-71.12323846,369,6
John Muir National Historic Site,jomu,CA,37.9828422,-122.1326097,391,7
Johnstown Flood National Memorial,jofl,PA,40.34584534,-78.77448601,377,5
Joshua Tree National Park,jotr,CA,33.91418525,-115.8398125,399,29
Juan Bautista de Anza National Historic Trail,juba,"AZ,CA",33.8743390994,-117.224179857,363,16
Kalaupapa National Historical Park,kala,HI,21.1731108,-156.9511609,394,3
Kaloko-Honokōhau National Historical Park,kaho,HI,19.68083237,-156.0306932,300,14
Katahdin Woods and Waters National Monument,kaww,ME,45.9567565918,-68.7122879028,230,22
Katmai National Park & Preserve,katm,AK,58.62235668,-155.0126574,386,23
Kenai Fjords National Park,kefj,AK,59.81804414,-150.106502,340,38
Kenilworth Park & Aquatic Gardens,keaq,DC,38.9128,-76.9434,377,13
Kennesaw Mountain National Battlefield Park,kemo,GA,33.95370717,-84.59214186,319,8
Keweenaw National Historical Park,kewe,MI,47.1792308,-88.52275344,386,15
Kings Mountain National Military Park,kimo,SC,35.13900723,-81.38978712,349,5
Klondike Gold Rush - Seattle Unit National Historical Park,klse,WA,47.5993663,-122.3319664,352,5
Klondike Gold Rush National Historical Park,klgo,AK,59.61042373,-135.2618535,297,24
Knife River Indian Villages National Historic Site,knri,ND,47.3540219,-101.3860533,277,23
Kobuk Valley National Park,kova,AK,67.35631336,-159.2002293,396,19
Korean War Veterans Memorial,kowa,DC,38.88784226,-77.04773857,166,3
LBJ Memorial Grove on the Potomac,lyba,DC,38.87858036,-77.05145832,399,9
Lake Clark National Park & Preserve,lacl,AK,60.57405857,-153.55535,298,39
Lake Mead National Recreation Area,lake,"AZ,NV",35.96622528,-114.3469067,292,48
Lake Meredith National Recreation Area,lamr,TX,35.61926203,-101.6820066,393,20
Lake Roosevelt National Recreation Area,laro,WA,48.17148735,-118.3513713,390,32
Lassen Volcanic National Park,lavo,CA,40.49354575,-121.4075993,235,47
Lava Beds National Monument,labe,CA,41.75915823,-121.5172189,382,28
Lewis & Clark National Historic Trail,lecl,"IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV",41.2646141052,-95.9245147705,381,14
Lewis and Clark National Historical Park,lewi,"OR,WA",46.21178735,-123.9638583,324,21
Lincoln Boyhood National Memorial,libo,IN,38.11817004,-86.99656861,281,18
Lincoln Home National Historic Site,liho,IL,39.79715642,-89.64513397,384,18
Lincoln Memorial,linc,DC,38.88927229,-77.05017778,259,6
Little Bighorn Battlefield National Monument,libi,MT,45.55633048,-107.4183614,399,9
Little River Canyon National Preserve,liri,AL,34.41461863,-85.61734327,390,29
Little Rock Central High School National Historic Site,chsc,AR,34.7369465,-92.29987899,387,6
Longfellow House Washington's Headquarters National Historic Site,long,MA,42.37698854,-71.12636956,377,9
Lowell National Historical Park,lowe,MA,42.6455371,-71.31588673,356,17
Lower Delaware National Wild and Scenic River,lode,"PA,NJ",40.4000389,-74.983737,344,10
Lower East Side Tenement Museum National Historic Site,loea,NY,40.7187683,-73.99001245,396,8
Lyndon B Johnson National Historical Park,lyjo,TX,30.2519655,-98.60692433,346,7
Maggie L Walker National Historic Site,mawa,VA,37.54781499,-77.43746979,387,5
Maine Acadian Culture,maac,ME,47.25102114,-68.59447532,392,4
Mammoth Cave National Park,maca,KY,37.19760458,-86.13090198,285,35
