fullName,parkCode,states,latitude,longitude,description_length,num_activities
Sunset Crater Volcano National Monument,sucr,AZ,35.37114323,-111.510376,379,9
Tallgrass Prairie National Preserve,tapr,KS,38.44023613,-96.5670822,398,21
Thaddeus Kosciuszko National Memorial,thko,PA,39.94345312,-75.14732045,289,3
The White House and President's Park,whho,DC,38.89541886,-77.03654147,381,9
Theodore Roosevelt Birthplace National Historic Site,thrb,NY,40.7386469,-73.98903703,366,2
Theodore Roosevelt Inaugural National Historic Site,thri,NY,42.90146781,-78.87248411,386,10
Theodore Roosevelt Island,this,DC,38.89584162,-77.06241918,395,8
Theodore Roosevelt National Park,thro,ND,47.17777274,-103.4300083,391,28
Thomas Cole National Historic Site,thco,NY,42.22570607,-73.86154864,391,6
Thomas Edison National Historical Park,edis,NJ,40.78549896,-74.23821139,382,3
Thomas Jefferson Memorial,thje,DC,38.88101431,-77.03632572,96,3
Thomas Stone National Historic Site,thst,MD,38.52934443,-77.037813,217,6
Timpanogos Cave National Monument,tica,UT,40.44039719,-111.7093944,395,4
Timucuan Ecological & Historic Preserve,timu,FL,30.47251894,-81.49950104,260,26
Tonto National Monument,tont,AZ,33.64842945,-111.1135627,384,12
Touro Synagogue National Historic Site,tosy,RI,41.4893,-71.3121,385,3
Trail Of Tears National Historic Trail,trte,"AL,AR,GA,IL,KY,MO,NC,OK,TN",36.0530021046,-89.6761041963,243,8
Tule Lake National Monument,tule,CA,41.88727902,-121.3744818,348,6
Tule Springs Fossil Beds National Monument,tusk,NV,36.3893217,-115.3202223,206,14
Tumacácori National Historical Park,tuma,AZ,31.567824,-111.051223,389,21
Tupelo National Battlefield,tupe,MS,34.25557705,-88.73708623,369,2
Tuskegee Airmen National Historic Site,tuai,AL,32.45538671,-85.67983321,375,4
Tuskegee Institute National Historic Site,tuin,AL,32.42962115,-85.70488498,393,3
Tuzigoot National Monument,tuzi,AZ,34.77296377,-112.0279069,362,9
Ulysses S Grant National Historic Site,ulsg,MO,38.55182374,-90.35169255,309,16
Upper Delaware Scenic & Recreational River,upde,"NY,PA",41.66172578,-75.03861562,400,20
Valles Caldera National Preserve,vall,NM,35.91682872,-106.5195724,344,30
Valley Forge National Historical Park,vafo,PA,40.10054985,-75.44581889,386,20
Vanderbilt Mansion National Historic Site,vama,NY,41.79697937,-73.94205557,195,10
Vicksburg National Military Park,vick,"MS,LA",32.3621286,-90.85030186,393,17
Vietnam Veterans Memorial,vive,DC,38.89096297,-77.04765735,203,3
Virgin Islands Coral Reef National Monument,vicr,VI,18.28996918,-64.70683395,267,15
Virgin Islands National Park,viis,VI,18.34279656,-64.74194451,399,31
Voyageurs National Park,voya,MN,48.48370609,-92.8382913,378,48
Waco Mammoth National Monument,waco,TX,31.60465887,-97.17606143,271,2
Walnut Canyon National Monument,waca,AZ,35.16822994,-111.5024239,289,8
War In The Pacific National Historical Park,wapa,GU,13.43795691,144.6922461,293,8
Washington Monument,wamo,DC,38.88948,-77.035207,126,5
Washington-Rochambeau Revolutionary Route National Historic Trail,waro,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC",40.0958204557,-74.8563515109,208,0
Washita Battlefield National Historic Site,waba,OK,35.62083963,-99.70445143,346,14
Weir Farm National Historical Park,wefa,CT,41.25886268,-73.45452542,398,8
Whiskeytown National Recreation Area,whis,CA,40.61359941,-122.6022657,301,44
White Sands National Park,whsa,NM,32.77907858,-106.3333461,385,11
Whitman Mission National Historic Site,whmi,WA,46.04119286,-118.4629388,379,15
William Howard Taft National Historic Site,wiho,OH,39.11970352,-84.50758951,377,7
Wilson's Creek National Battlefield,wicr,MO,37.1000127,-93.40986704,380,27
Wind Cave National Park,wica,SD,43.58012365,-103.4394709,379,25
Wing Luke Museum Affiliated Area,wing,WA,47.59820859,-122.3228912,394,6
Wolf Trap National Park for the Performing Arts,wotr,VA,38.93854526,-77.265089,383,8
Women's Rights National Historical Park,wori,NY,42.90817073,-76.81655558,399,6
World War I Memorial,wwim,DC,38.8959,-77.0329,142,2
World War II Memorial,wwii,DC,38.88923917,-77.0403759,230,3
Wrangell - St Elias National Park & Preserve,wrst,AK,61.4182147,-142.6028439,396,42
Wright Brothers National Memorial,wrbr,NC,36.01637713,-75.66997163,393,5
Wupatki National Monument,wupa,AZ,35.55741077,-111.3957216,400,19
Yellowstone National Park,yell,"ID,MT,WY",44.59824417,-110.5471695,206,53
Yorktown Battlefield Part of Colonial National Historical Park,york,VA,37.2195,-76.4983,392,21
Yosemite National Park,yose,CA,37.84883288,-119.5571873,399,33
Yucca House National Monument,yuho,CO,37.24778944,-108.6861274,376,2
Yukon - Charley Rivers National Preserve,yuch,AK,65.0935608,-142.7960021,397,21
Zion National Park,zion,UT,37.29839254,-113.0265138,379,22
